NDVI,EVI,SAVI,NDWI,ELEV,SLOPE,ASPECT,B2,B3,B4,B8,NDVI_mean_3x3,NDVI_std_3x3,NIR_mean_3x3,NIR_std_3x3,Status,longitude,latitude
0.62045217,0.4754033312366745,0.4100467107455265,-0.56201625,7,2.6310685,314.79193,0.05695,0.0787,0.06786667,0.3274,0.71507496,0.053931632165170704,0.3376852,0.021226596337962672,1,79.95055436004368,6.89721983570548
0.807778,0.6991501929822284,0.5832968000401432,-0.68171895,8,3.8201177,14.134467,0.045333333,0.0805,0.0423,0.42373332,0.8142167,0.016240280545058675,0.42117593,0.02269255252420201,1,79.95028486545844,6.896950341120244
0.8183686,0.6416666806308543,0.5479435526830331,-0.7207443,7,4.1647177,63.601017,0.03952,0.05935,0.03628,0.3711,0.80483407,0.012903065451245223,0.3632509,0.02198629573000883,1,79.9454339629242,6.896770678063421
0.6856472,0.47601673507521547,0.419363780455383,-0.595759,12,2.6310475,45.20762,0.04685,0.0718,0.052066665,0.29265,0.6911217,0.02494465188147733,0.30086482,0.011489462031001393,1,79.95136284379939,6.8898536503756995
0.5758912,0.384645617865889,0.35010569299267713,-0.5407223,10,0.93415165,90.0,0.0509,0.0747,0.061899997,0.2834,0.6031119,0.03544417730390572,0.2904222,0.00873826522837194,1,79.95558492563475,6.888326514392697
0.5978929,0.42290596393827273,0.37009331115226984,-0.5526631,11,2.949567,71.68916,0.05335,0.07962,0.070700005,0.2934,0.5905719,0.014641031452097417,0.2883222,0.0031146489391871324,1,79.95630357786204,6.887068872994929
0.5707454,0.3956386253102221,0.35507248016250803,-0.5489598,5,2.9325612,18.559902,0.0535,0.0778,0.076,0.2844,0.5801845,0.02011558548921904,0.28667778,0.007894265813304758,1,79.94758991960609,6.890392639546172
0.63556534,0.4959628808491395,0.4200528663858692,-0.57230145,5,4.6394615,322.93054,0.0542,0.0846,0.0715,0.3248,0.6419439,0.035971331506043036,0.31526667,0.012605467627442293,1,79.9477695826629,6.890212976489348
0.76345706,0.6075069806257671,0.5187061935192155,-0.6624156,6,0.92740995,-0.0,0.0463,0.07156666,0.048366666,0.3692,0.7513484,0.021523002901101367,0.3503111,0.01583885587454876,1,79.94669160432197,6.890662134131407
0.4898725,0.3157740851079345,0.2806345969665029,-0.4772291,29,0.0,-0.0,0.05915,0.07795,0.0723,0.2366,0.5293692,0.08752900278088722,0.23746297,0.01323856059431396,1,79.96286127943611,6.889134998148404
0.8451863,0.7043849931285815,0.6076763300982853,-0.70780015,20,4.751392,258.7695,0.041575,0.072744444,0.036683332,0.424,0.8225154,0.02385170329449814,0.39269814,0.026961101641319544,1,79.963490100135,6.883385780330039
0.6785106,0.5076017080631913,0.44492472210844275,-0.61366534,14,6.464861,180.0,0.0504,0.0756,0.058066666,0.3193,0.6623505,0.05692791450523552,0.29965037,0.028065255494700927,1,79.97570718799902,6.899196129330543
0.8136574,0.7253399443823525,0.6009640257435904,-0.7084121,12,3.357171,303.4982,0.04545,0.074433334,0.042833336,0.4332,0.8028866,0.024202865860532136,0.4181963,0.029504036107155195,1,79.9748088727149,6.898657140160071
0.6941915,0.4843102780373821,0.4245689742841502,-0.6165159,9,9.4386,78.76985,0.0475,0.0717,0.0543,0.3062,0.65660447,0.07880880239048546,0.29410926,0.025836827335767337,1,79.9777733131525,6.898207982518011
0.7677794,0.5133963608587213,0.45117185733413107,-0.6643134,12,7.070964,66.95169,0.0454,0.069,0.0446,0.2874,0.74831945,0.02381923822798579,0.29984167,0.010459463516494667,1,79.97813263926615,6.896860509591832
0.7027105,0.46942501594349373,0.4220709567766192,-0.61036766,6,4.1647215,63.601044,0.049233332,0.07425,0.051816665,0.2878,0.7043405,0.02328691380268953,0.29564816,0.01505936888903578,1,79.97822247079456,6.897309667233892
0.6258847,0.39520243006062616,0.3615770590176768,-0.56918484,4,0.9341659,270.0,0.04935,0.0719,0.0562,0.2681,0.6435678,0.029331022545446703,0.27148777,0.008524672974492893,1,79.97804280773774,6.895602868194064
0.64960515,0.42842780062487346,0.3890229389217277,-0.5730373,16,5.8498445,341.43988,0.046,0.0704,0.05525,0.2727,0.6276827,0.042146656064113684,0.26901665,0.0252231844449455,1,79.97642584022633,6.895962194307713
